"HGNC","logFC","logCPM","F","PValue","FDR"
"DDX11",-1.18607323187692,5.25871002425266,6.32595396673707,0.0146536336233573,0.0441337996938085
"DDX17",0.137867835293138,7.84316644318071,0.0865321155345321,0.769943428567671,0.826336730078092
"DDX18",-0.281632301358569,5.59398899400558,0.365755358498843,0.547961026044508,0.644594837483085
"DDX19A",-0.642444003610588,5.1696269727849,3.06842676302155,0.0848584245383348,0.163593714414673
"DDX19A-DT",-0.810357793657727,4.25076800363961,2.40199084798598,0.125713906367202,0.217635454159682
"DDX19B",-0.911710782772188,5.07375273959927,7.31968009157526,0.00871433050721446,0.0295901720575565
"DDX20",-0.307162576608945,4.85082569895391,0.514821531253785,0.475272509205658,0.580632645355305
"DDX21",-0.306735188034132,5.93489478388961,0.475117608066471,0.493914158798971,0.597422005227807
"DDX23",-0.0713698050608296,5.90673472061391,0.0322661928907864,0.858185571203723,0.895133603208303
"DDX24",-0.372148228906045,6.42403816111147,0.862731778968407,0.357742058456102,0.470954688704368
"DDX27",-0.556874315043493,5.34345877441093,2.01574831343083,0.16119528838939,0.261068346473637
"DDX28",-0.205324076636062,4.43493507426246,0.150458681425659,0.69896519253366,0.769772896474692
"DDX31",-1.41753929548049,4.75545969613488,10.1138415333898,0.0020714646326103,0.00974828645744062
"DDX39A",-0.774436586544972,5.07967191457778,3.94821275244402,0.0511932639812494,0.112504655998322
"DDX39B",-0.391325947883069,5.37048241640764,1.02323931633391,0.316127735256399,0.430131690889622
"DDX3X",0.133630582456007,7.52932705931656,0.0877195616184688,0.768418819334197,0.825332770306253
"DDX3Y",-0.533033725943572,5.71239694851529,0.733943035880745,0.395656041226902,0.508119800886047
"DDX41",-1.00994466053476,5.18564838108145,7.64095808109281,0.00754638270859809,0.0265572258132233
"DDX42",-0.574384426976671,6.29763729791667,2.15756782425496,0.148520653510384,0.245779089777197
"DDX46",-0.559951732247495,5.76627389432852,2.12023371977052,0.151620821347186,0.249707042083658
"DDX47",-0.535172818584335,5.10622433157689,1.79511693926066,0.185107775915932,0.289083939626224
"DDX49",-0.396496455603163,4.9691712769297,1.1521450859852,0.286840608511373,0.400554407785482
"DDX5",-0.0317020797708282,8.14594478622897,0.00559761168770928,0.940680869221674,0.957911652330865
"DDX50",-0.597094056071432,5.29806138912099,1.73098939759221,0.193527331119608,0.298685476749409
"DDX51",-1.51573441677515,4.88734352529375,19.3118722944186,3.60997379110735e-05,0.000392169710266705
"DDX52",-0.43427252420533,5.05921053006408,1.16538521997507,0.284343060231379,0.397948704934652
"DDX54",-0.263995717998205,5.70915994984639,0.481071400384697,0.491109122531408,0.594830898375075
"DDX55",-0.68210206350816,4.74085146030349,3.3448129268751,0.0710243326028255,0.143433487930012
"DDX56",-0.349048316958211,5.1616291496935,0.774759142348852,0.382189694008453,0.494902599143332
"DDX59",-0.509766494616883,4.85120886326228,1.44283228954814,0.23344034795787,0.34272314858006
"DDX6",-0.245324444016127,7.47009979522676,0.308602700470058,0.581210714491723,0.672924617145994
"DDX60",0.0146522348573679,6.08650711138825,0.000726659756996836,0.978606118351299,0.985120604560534
"DDX60L",0.0789649784412264,5.76822006239225,0.0201116240915896,0.887793339086193,0.917335898439454
"DEAF1",-1.16319959048233,4.79091432092629,9.40258364828428,0.00295795492498916,0.0129527856638091
"DECR1",-0.469323418819007,5.19484428664441,1.25817301320041,0.266456369760708,0.378520734947997
"DECR2",-1.93152085104616,4.36367500139752,19.2791398252628,3.25959220779993e-05,0.000365262017240894
